work_context,role_seat,region,design_tools,code_in_workflow,anticipated_investment,vibe_coding_ratio,built_own_tool,ai_trust,blockers,workflow_shift,role_outlook,workflow_satisfaction
"Student, educator, or between roles",Designer (Individual contributor),South Asia,"Figma, Canva, ChatGPT, Grok, Gamma, Google Slides, Google Meet, Miro, FigJam",I use AI or no-code to generate code,"Video, motion, & 3D, Design systems & tokens",Occasionally,"No, but I want to",Exploration and brainstorming only,"Time to learn new tools, Budget or procurement friction, Too many tools, unclear which to commit","Still in flux, changing often",Honestly not sure,1.0
Startup in-house (2–100),Designer (Individual contributor),Western Europe,"Cursor, Nanobanana, Figma, Storybook, Gemini, Jitter, Linear, Slack, Google Meet","I use AI or no-code to generate code, I hand-code prototypes but not production","AI-generated coding, Agent workflows & automations, Design systems & tokens",Occasionally,"Yes, I build personal tools regularly",Exploration and brainstorming only,"AI output quality isn't reliable enough, Too many tools, unclear which to commit, Time to learn new tools","Added new tools, AI included","More valuable, my skills matter more than before",4.0
Startup in-house (2–100),Design manager or director,Western Europe,"Claude Cowork, v0 (Vercel), FigJam, Slack, Google Meet, Google Slides, Trello, Linear, Jira, Gemini, Claude, Figma, Canva, Nanobanana, Windsurf, Cursor, Claude Code",I use AI or no-code to generate code,"AI-generated coding, Video, motion, & 3D, Image generation",About half,"Yes, I build personal tools regularly",First drafts I heavily edit,"Time to learn new tools, Engineering team constraints, Too many tools, unclear which to commit",AI is now central — major shift,"Less secure, AI is changing what's expected of me",5.0
Startup in-house (2–100),Lead or principal,Southeast Asia,"Figma, ChatGPT, Gemini, Nanobanana",I write production code,"Manual coding, AI-generated coding, Video, motion, & 3D",About half,"Yes, I build personal tools regularly",Working output I review before shipping,"Time to learn new tools, AI output quality isn't reliable enough",Mostly the same,About the same,7.0
Agency or consulting,Lead or principal,North America,"Claude, Adobe Firefly, Nanobanana, Gemini",Code isn't part of my workflow,Agent workflows & automations,None,"No, but I want to",First drafts I heavily edit,"Too many tools, unclear which to commit","Added new tools, AI included",About the same,3.0
Mid-size in-house (101–999),Designer (Individual contributor),North America,"Lovable, Figma Make, Figma, Claude, ChatGPT, After Effects, keyshot",Code isn't part of my workflow,"Canvas design tools, Image generation, Simplifying my stack",None,"Yes, once or twice",Exploration and brainstorming only,"Security or compliance policy, Time to learn new tools, AI output quality isn't reliable enough","Added new tools, AI included",About the same,7.0
"Student, educator, or between roles","Non-designer who designs (e.g. PM, founder)",Western Europe,"Claude Cowork, Claude Code, Google Antigravity, Claude, Gemini, Figma, Excalidraw, Obsidian, OpenAI Codex, VSCode, ChatGPT, Google AI Studio, Touch Designer, GitHub Copilot, PowerBI, Excel, DBeaver, dbt, Adobe Illustrator, drawio, git, github, postman, Jira","I use AI or no-code to generate code, I write production code","Manual coding, Video, motion, & 3D, Design systems & tokens",Nearly all of it,"Yes, I build personal tools regularly",Ships with minor tweaks,"Too many tools, unclear which to commit, Budget or procurement friction, AI output quality isn't reliable enough",AI is now central — major shift,"Less secure, AI is changing what's expected of me",8.0
Agency or consulting,Designer (Individual contributor),Northern Europe,"Lovable, v0 (Vercel), Claude Code, Figma Make, Google Stitch, Recraft, Nanobanana, Figma, ChatGPT, Claude, PowerPoint, Microsoft Teams, Miro, FigJam, Mural, Squarespace, Slack",I use AI or no-code to generate code,"Canvas design tools, Image generation, Design systems & tokens",Occasionally,"Yes, I build personal tools regularly",Exploration and brainstorming only,"Time to learn new tools, Budget or procurement friction, AI output quality isn't reliable enough",AI is now central — major shift,"More valuable, my skills matter more than before",5.0
Mid-size in-house (101–999),Designer (Individual contributor),Northern Europe,"Figma, Lovable, Claude, ChatGPT, Miro, Copilot (Microsoft)",I hand-code prototypes but not production,"Simplifying my stack, Agent workflows & automations, AI-generated coding",About half,"Yes, I build personal tools regularly",First drafts I heavily edit,"Time to learn new tools, Security or compliance policy, Too many tools, unclear which to commit","Added new tools, AI included",About the same,7.0
Mid-size in-house (101–999),Design engineer,Eastern Europe,"Claude Code, Figma, Figma Make",I write production code,"AI-generated coding, Design systems & tokens, Simplifying my stack",About half,"Yes, I build personal tools regularly",Working output I review before shipping,"AI output quality isn't reliable enough, Too many tools, unclear which to commit, Time to learn new tools",AI is now central — major shift,Honestly not sure,2.0
Startup in-house (2–100),Lead or principal,Southern Europe,"Figma, ChatGPT, Claude, Framer, FigJam, Linear, Granola, Claude Code, Gemini",I use AI or no-code to generate code,"No-code tools (not AI), AI-generated coding, Design systems & tokens",About half,"Yes, I build personal tools regularly",Working output I review before shipping,Engineering team constraints,AI is now central — major shift,"More valuable, my skills matter more than before",7.0
Mid-size in-house (101–999),Designer (Individual contributor),Eastern Europe,"Amazon Q Developer, GitHub Copilot, Figma Make, Figma, OpenAI Codex, Grazy Figma Plugin",I use AI or no-code to generate code,"Canvas design tools, Design systems & tokens, Simplifying my stack",Occasionally,"Yes, I build personal tools regularly",First drafts I heavily edit,"AI output quality isn't reliable enough, Security or compliance policy, Budget or procurement friction",Mostly the same,About the same,8.0
Agency or consulting,Lead or principal,South Asia,"Figma, Claude Cowork",Code isn't part of my workflow,Canvas design tools,None,"No, but I want to",Ships with minor tweaks,"Budget or procurement friction, Engineering team constraints, Too many tools, unclear which to commit","Added new tools, AI included","More valuable, my skills matter more than before",7.0
Mid-size in-house (101–999),Designer (Individual contributor),Western Europe,"Vibecode, Cursor, Claude Code, Figma Make, Figma, Storybook, Perplexity, Claude, Spline, Jira, Google Slides, Slack, Framer, Webflow, Miro, FigJam","I use AI or no-code to generate code, I hand-code prototypes but not production","AI-generated coding, Design systems & tokens, Video, motion, & 3D",About half,"Yes, once or twice",Ships with minor tweaks,Security or compliance policy,"Added new tools, AI included",Honestly not sure,9.0
"Student, educator, or between roles",Designer (Individual contributor),East Asia,"Cursor, Figma",I use AI or no-code to generate code,"AI-generated coding, Agent workflows & automations, Video, motion, & 3D",Nearly all of it,"No, but I want to",Working output I review before shipping,"Time to learn new tools, Too many tools, unclear which to commit",AI is now central — major shift,"Less secure, AI is changing what's expected of me",8.0
Mid-size in-house (101–999),Designer (Individual contributor),Western Europe,"Figma, Zeplin",Code isn't part of my workflow,"Design systems & tokens, No-code tools (not AI), AI-generated coding",None,"No, but I want to",Exploration and brainstorming only,"Budget or procurement friction, Time to learn new tools, Too many tools, unclear which to commit","Still in flux, changing often",About the same,7.0
Mid-size in-house (101–999),Designer (Individual contributor),Australia & New Zealand,"Cursor, Figma, Slack, Jira",Code isn't part of my workflow,"AI-generated coding, Design systems & tokens",None,"Yes, I build personal tools regularly",Working output I review before shipping,"Time to learn new tools, Security or compliance policy",AI is now central — major shift,"More valuable, my skills matter more than before",7.0
"Enterprise in-house (1,000+)",Designer (Individual contributor),Western Europe,"Make, Lovable, Figma Make, Nanobanana, Canva, Figma, ChatGPT, Copilot (Microsoft), Claude, Gemini, Notion, ClickUp, Google Slides, PowerPoint, Microsoft Teams, Google Meet, Framer, FigJam","I review or inspect code but don't write it, Code isn't part of my workflow","Manual coding, AI-generated coding, No-code tools (not AI)",None,"Yes, once or twice",First drafts I heavily edit,"Time to learn new tools, AI output quality isn't reliable enough, Too many tools, unclear which to commit","Added new tools, AI included","Less secure, AI is changing what's expected of me",8.0
Agency or consulting,Designer (Individual contributor),Northern Europe,"Claude Code, Figma, ChatGPT, Claude, After Effects, PowerPoint, Microsoft Teams, Webflow","I write production code, I hand-code prototypes but not production, I use AI or no-code to generate code","Design systems & tokens, Agent workflows & automations, Video, motion, & 3D",About half,"Yes, once or twice",I don't use AI output in my work,"Time to learn new tools, Budget or procurement friction, Security or compliance policy",AI is now central — major shift,About the same,9.0
Agency or consulting,Lead or principal,Northern Europe,Claude Code,"I write production code, I use AI or no-code to generate code",AI-generated coding,About half,"Yes, once or twice",Working output I review before shipping,"Security or compliance policy, Engineering team constraints",AI is now central — major shift,"More valuable, my skills matter more than before",10.0
Mid-size in-house (101–999),Designer (Individual contributor),Northern Europe,"Lovable, Figma Make, ChatGPT, Gemini, Jira, Notion, Slack, Google Meet, FigJam",Code isn't part of my workflow,"Design systems & tokens, No major changes planned, AI-generated coding",None,"Yes, once or twice",Exploration and brainstorming only,"AI output quality isn't reliable enough, Time to learn new tools",AI is now central — major shift,Honestly not sure,8.0
Independent or freelance,Designer (Individual contributor),Western Europe,"Adobe Firefly, Trello, Gemini, ChatGPT, Canva",Code isn't part of my workflow,"AI-generated coding, Image generation, Simplifying my stack",None,"No, but I want to",First drafts I heavily edit,"Time to learn new tools, Too many tools, unclear which to commit, AI output quality isn't reliable enough","Still in flux, changing often",Honestly not sure,9.0
Independent or freelance,Designer (Individual contributor),Western Europe,"Claude, Claude Code, Figma, Lovable",Code isn't part of my workflow,AI-generated coding,None,"No, but I want to",Working output I review before shipping,"Time to learn new tools, Too many tools, unclear which to commit","Still in flux, changing often","Less secure, AI is changing what's expected of me",10.0
Agency or consulting,Designer (Individual contributor),Eastern Europe,"v0 (Vercel), Figma, Webflow, Microsoft Teams, Zoom, Google Meet, Keynote, Notion, After Effects, ChatGPT, Claude, Gemini, Midjourney, Adobe Firefly",I use AI or no-code to generate code,"No-code tools (not AI), Design systems & tokens, Video, motion, & 3D",Occasionally,"Yes, once or twice",First drafts I heavily edit,"Other: burn out, Budget or procurement friction, Time to learn new tools","Added new tools, AI included",Honestly not sure,5.0
"Student, educator, or between roles",Designer (Individual contributor),East Africa,"Framer, Lovable, Claude Code, ChatGPT, Google Meet",I use AI or no-code to generate code,"AI-generated coding, Video, motion, & 3D, Agent workflows & automations",About half,"Yes, I build personal tools regularly",Ships with minor tweaks,"Time to learn new tools, Budget or procurement friction, Too many tools, unclear which to commit","Added new tools, AI included","More valuable, my skills matter more than before",9.0
Startup in-house (2–100),Designer (Individual contributor),North America,"Claude Cowork, Claude Code, OpenAI Codex, Obsidian, Notion, ChatGPT, Claude, Figma, Figma Make",I use AI or no-code to generate code,"AI-generated coding, Canvas design tools",Occasionally,"No, but I want to",Exploration and brainstorming only,"AI output quality isn't reliable enough, Too many tools, unclear which to commit, Security or compliance policy","Still in flux, changing often","Less secure, AI is changing what's expected of me",3.0
Startup in-house (2–100),Lead or principal,South Asia,"Claude, Figma Make, Figma, Gemini, Nanobanana",I use AI or no-code to generate code,"Design systems & tokens, Canvas design tools, No-code tools (not AI)",About half,"No, but I want to",First drafts I heavily edit,"AI output quality isn't reliable enough, Too many tools, unclear which to commit, Security or compliance policy",AI is now central — major shift,About the same,8.0
Mid-size in-house (101–999),Designer (Individual contributor),Western Europe,"Claude Code, Figma, Cursor, ChatGPT, Framer",I use AI or no-code to generate code,"Manual coding, Agent workflows & automations, Simplifying my stack",Occasionally,"No, but I want to",Working output I review before shipping,"Time to learn new tools, AI output quality isn't reliable enough, Too many tools, unclear which to commit","Added new tools, AI included",About the same,7.0
Startup in-house (2–100),Lead or principal,North America,"Claude Cowork, Zapier, Replit, v0 (Vercel), Cursor, GitHub Copilot, Figma Make, ChatGPT, Claude, Gemini, Notion, Gamma, Pitch, Discord, Google Meet, Slack","I use AI or no-code to generate code, I hand-code prototypes but not production","AI-generated coding, Design systems & tokens, Simplifying my stack",Most of it,"Yes, I build personal tools regularly",Ships with minor tweaks,"Time to learn new tools, Budget or procurement friction, AI output quality isn't reliable enough",AI is now central — major shift,"More valuable, my skills matter more than before",7.0
"Enterprise in-house (1,000+)",Designer (Individual contributor),Western Europe,"Figma, Storybook, Microsoft Teams",I use AI or no-code to generate code,"Manual coding, AI-generated coding, Design systems & tokens",Occasionally,"Yes, once or twice",I don't use AI output in my work,"Budget or procurement friction, Security or compliance policy, AI output quality isn't reliable enough",Mostly the same,About the same,6.0
Mid-size in-house (101–999),Lead or principal,Western Europe,"Zed, Figma, Storybook, ChatGPT, Gemini, Microsoft Teams",I write production code,"AI-generated coding, Video, motion, & 3D, Manual coding",Occasionally,"No, but I want to",First drafts I heavily edit,"AI output quality isn't reliable enough, Engineering team constraints, Too many tools, unclear which to commit","Still in flux, changing often","More valuable, my skills matter more than before",7.0
"Student, educator, or between roles",Designer (Individual contributor),North America,"Penpot, Discord, Google Meet, VS Code, AstroJS, Vue, Git, GitHub, Cloudflare, Affinity, Firefox, Orange, Flutter, Terminal, WSL, NVDA, Lightspeed, Linux, Blender, Svelte, Tailwind, Homebrew, Chocolatey, Docker, Eclipse",I write production code,"Manual coding, No major changes planned, Design systems & tokens",None,"Yes, once or twice",I don't use AI output in my work,"AI output quality isn't reliable enough, Security or compliance policy",Consolidated into fewer tools,Honestly not sure,7.0
Startup in-house (2–100),Lead or principal,North America,"Claude Code, OpenAI Codex, OpenCode, Zed, Nanobanana, Midjourney, Figma, Paper, Claude, Rive, Monday.com, Keynote, Google Slides, Slack, Zoom, FigJam, Hotjar","I write production code, I use AI or no-code to generate code",Agent workflows & automations,Most of it,"Yes, I build personal tools regularly",Working output I review before shipping,Engineering team constraints,AI is now central — major shift,"More valuable, my skills matter more than before",9.0
Startup in-house (2–100),Designer (Individual contributor),Eastern Europe,"Figma, Gemini","I use AI or no-code to generate code, I review or inspect code but don't write it","AI-generated coding, Design systems & tokens",Occasionally,"No, but I want to",Working output I review before shipping,"Budget or procurement friction, AI output quality isn't reliable enough, Too many tools, unclear which to commit",AI is now central — major shift,About the same,7.0
"Enterprise in-house (1,000+)",Designer (Individual contributor),North America,"Figma, FigJam, Figma Make, Copilot (Microsoft), Claude, Gemini, Rive, LottieFiles, Jira, PowerPoint, Microsoft Teams, Squarespace",Code isn't part of my workflow,"Video, motion, & 3D",None,"No, but I want to",Exploration and brainstorming only,"Budget or procurement friction, Security or compliance policy, AI output quality isn't reliable enough","Still in flux, changing often",About the same,6.0
Agency or consulting,Design manager or director,North America,"Figma, Canva, ChatGPT, Claude, Copilot (Microsoft), Gemini, Airtable, ClickUp, Trello, PowerPoint, Google Slides, Google Meet, Microsoft Teams, Slack, Zoom, UserTesting, Squarespace, Webflow, Wix, FigJam, Whimsical",Code isn't part of my workflow,"Agent workflows & automations, AI-generated coding, Canvas design tools",None,"No, but I want to",Working output I review before shipping,"Budget or procurement friction, Too many tools, unclear which to commit, Time to learn new tools","Still in flux, changing often",About the same,7.0
"Enterprise in-house (1,000+)",Designer (Individual contributor),South Asia,"Claude Code, Google Antigravity, Nanobanana, Figma, Claude, ChatGPT, Gemini, After Effects, PowerPoint, Microsoft Teams, UserTesting, FigJam",I use AI or no-code to generate code,AI-generated coding,Occasionally,"Yes, I build personal tools regularly",Exploration and brainstorming only,"Security or compliance policy, AI output quality isn't reliable enough",AI is now central — major shift,"More valuable, my skills matter more than before",6.0
Mid-size in-house (101–999),Design manager or director,Southern Europe,"Claude Code, Claude",I hand-code prototypes but not production,"AI-generated coding, Agent workflows & automations, Simplifying my stack",About half,"Yes, once or twice",First drafts I heavily edit,"Time to learn new tools, Engineering team constraints",Consolidated into fewer tools,"More valuable, my skills matter more than before",7.0
Agency or consulting,Designer (Individual contributor),North America,"Figma, Canva, ChatGPT, Claude, Airtable, Slack, Zoom, Framer, Webflow, Carrd, Squarespace, FigJam",I use AI or no-code to generate code,"No-code tools (not AI), AI-generated coding, Video, motion, & 3D",Occasionally,"No, but I want to",Exploration and brainstorming only,"AI output quality isn't reliable enough, Too many tools, unclear which to commit, Time to learn new tools","Still in flux, changing often","Less secure, AI is changing what's expected of me",5.0
Independent or freelance,Lead or principal,North America,"Claude Code, Adobe Firefly, Leonardo AI, Midjourney, Canva, Figma, Claude, Notion, Todoist, PowerPoint, Google Meet, Slack, FigJam, Miro, Whimsical",I use AI or no-code to generate code,"Canvas design tools, AI-generated coding, Design systems & tokens",About half,"Yes, I build personal tools regularly",Working output I review before shipping,"Time to learn new tools, AI output quality isn't reliable enough, Engineering team constraints","Added new tools, AI included","More valuable, my skills matter more than before",6.0
Mid-size in-house (101–999),Designer (Individual contributor),Western Asia (Middle East),"Claude Cowork, Figma, ChatGPT, Claude, Gemini, Microsoft Teams, FigJam",Code isn't part of my workflow,"Design systems & tokens, AI-generated coding, Canvas design tools",None,"No, but I want to",Ships with minor tweaks,"Time to learn new tools, AI output quality isn't reliable enough, Engineering team constraints",AI is now central — major shift,"Less secure, AI is changing what's expected of me",8.0
Startup in-house (2–100),Lead or principal,Southeast Asia,"Figma, ChatGPT",Code isn't part of my workflow,"Canvas design tools, Design systems & tokens, No-code tools (not AI)",None,"No, but I want to",Exploration and brainstorming only,"AI output quality isn't reliable enough, Time to learn new tools","Added new tools, AI included",Honestly not sure,7.0
Agency or consulting,Lead or principal,Northern Europe,"Vibecode, ChatGPT, Claude, Copilot (Microsoft), Perplexity, Keynote, PowerPoint, Slack, Microsoft Teams",I use AI or no-code to generate code,"Agent workflows & automations, Design systems & tokens, AI-generated coding",Occasionally,"No, but I want to",First drafts I heavily edit,"Budget or procurement friction, Security or compliance policy",AI is now central — major shift,About the same,5.0
Mid-size in-house (101–999),Designer (Individual contributor),North America,Figma,I use AI or no-code to generate code,"AI-generated coding, Image generation",Nearly all of it,"Yes, I build personal tools regularly",First drafts I heavily edit,"Time to learn new tools, Budget or procurement friction, Too many tools, unclear which to commit","Added new tools, AI included",Honestly not sure,2.0
Startup in-house (2–100),Designer (Individual contributor),North America,"Claude, Cursor, ChatGPT, Figma, FigJam",I use AI or no-code to generate code,"Simplifying my stack, AI-generated coding, Agent workflows & automations",About half,"Yes, once or twice",First drafts I heavily edit,"Too many tools, unclear which to commit to, Time to learn new tools, Engineering team constraints","Still in flux, changing often","Less secure, AI is changing what's expected of me",7.0
Mid-size in-house (101–999),Designer (Individual contributor),North America,"Subframe, ChatGPT","I use AI or no-code to generate code, I review or inspect code but don't write it",No major changes planned,Occasionally,"No, and I don't plan to",First drafts I heavily edit,Other: Figma,"Added new tools, AI included","More valuable, my skills matter more than before",5.0
Startup in-house (2–100),"Non-designer who designs (e.g. PM, founder)",East Asia,"Figma, ChatGPT, Gemini, Jira, Notion, PowerPoint, Microsoft Teams, FigJam, Figma Make",I use AI or no-code to generate code,"Agent workflows & automations, No-code tools (not AI), Manual coding",Occasionally,"Yes, I build personal tools regularly",First drafts I heavily edit,"Budget or procurement friction, Too many tools, unclear which to commit, AI output quality isn't reliable enough","Still in flux, changing often","Less secure, AI is changing what's expected of me",4.0
Independent or freelance,Designer (Individual contributor),North America,"After Effects, Claude, ChatGPT, Webflow, Figma, Copilot (Microsoft)","I write production code, I use AI or no-code to generate code","Simplifying my stack, AI-generated coding, Agent workflows & automations",Occasionally,"No, but I want to",Working output I review before shipping,"Too many tools, unclear which to commit, Budget or procurement friction, Time to learn new tools","Added new tools, AI included",Honestly not sure,6.0
Startup in-house (2–100),Designer (Individual contributor),South America,"Figma, Figma Make, ChatGPT","I use AI or no-code to generate code, I review or inspect code but don't write it","Manual coding, AI-generated coding, Design systems & tokens",Nearly all of it,"Yes, once or twice",First drafts I heavily edit,Budget or procurement friction,"Added new tools, AI included","Less secure, AI is changing what's expected of me",6.0
"Student, educator, or between roles",Designer (Individual contributor),North America,"Figma, Cursor","I use AI or no-code to generate code, I review or inspect code but don't write it","AI-generated coding, Agent workflows & automations, Simplifying my stack",Nearly all of it,"Yes, once or twice",Working output I review before shipping,AI output quality isn't reliable enough,"Added new tools, AI included","Less secure, AI is changing what's expected of me",8.0
Mid-size in-house (101–999),Designer (Individual contributor),North America,"Claude, Replit, Figma, Notion, Slack, Google Slides, Zoom, Jira, Miro",I use AI or no-code to generate code,"AI-generated coding, Design systems & tokens, Video, motion, & 3D",Nearly all of it,"Yes, once or twice",First drafts I heavily edit,"Budget or procurement friction, AI output quality isn't reliable enough, Too many tools, unclear which to commit","Still in flux, changing often",Honestly not sure,6.0
"Enterprise in-house (1,000+)",Lead or principal,North America,"Claude Code, Claude Cowork, GitHub Copilot, Figma, Claude, ChatGPT, Jira, Slack, Zoom, Microsoft Teams, Dscout, FigJam",I use AI or no-code to generate code,"AI-generated coding, Canvas design tools, Agent workflows & automations",Nearly all of it,"Yes, once or twice",Working output I review before shipping,"Security or compliance policy, Engineering team constraints, Too many tools, unclear which to commit",AI is now central — major shift,"More valuable, my skills matter more than before",6.0
Startup in-house (2–100),Lead or principal,North America,"v0 (Vercel), Cursor, Claude, Figma, Photoshop, Illustrator, InDesign, Affinity Studio, Paper, Craft Docs, Xtiles, Canva, After Effects, Rive, Discord, Play, Zoom, Hotjar, Framer, Ycode","I use AI or no-code to generate code, I hand-code prototypes but not production","Manual coding, AI-generated coding, Design systems & tokens",About half,"Yes, I build personal tools regularly",Exploration and brainstorming only,"AI output quality isn't reliable enough, Time to learn new tools, Too many tools, unclear which to commit","Added new tools, AI included","More valuable, my skills matter more than before",7.0
Agency or consulting,"Non-designer who designs (e.g. PM, founder)",Western Europe,"Claude Cowork, Claude Code, Figma, Storybook, Claude, Linear, Obsidian","I write production code, I use AI or no-code to generate code, I review or inspect code but don't write it","AI-generated coding, Agent workflows & automations, Design systems & tokens",Occasionally,"Yes, once or twice",Working output I review before shipping,"Security or compliance policy, Engineering team constraints",AI is now central — major shift,About the same,8.0
Independent or freelance,Design manager or director,North America,"Figma, Subframe, Claude, Cursor, ChatGPT","I write production code, I hand-code prototypes but not production, I use AI or no-code to generate code","Simplifying my stack, No major changes planned",Nearly all of it,"Yes, I build personal tools regularly",Ships with minor tweaks,Time to learn new tools,AI is now central — major shift,"More valuable, my skills matter more than before",8.0
"Enterprise in-house (1,000+)",Design manager or director,North America,"Claude Cowork, Claude Code, Figma, Gemini, Claude, Jira, Slack, Zoom, FigJam, Google Slides, PowerPoint, Lovable",Code isn't part of my workflow,No major changes planned,None,"Yes, once or twice",Exploration and brainstorming only,"Time to learn new tools, AI output quality isn't reliable enough, Too many tools, unclear which to commit",AI is now central — major shift,About the same,5.0
Startup in-house (2–100),Lead or principal,Western Europe,"Cursor, Figma, Claude, Linear, Notion, Todoist, Slack, Zoom, Framer, FigJam",I use AI or no-code to generate code,"AI-generated coding, Image generation, Agent workflows & automations",Nearly all of it,"Yes, once or twice",Ships with minor tweaks,Other: Trying to accommodate new found front-end work with existing ux/product design processes.,AI is now central — major shift,"More valuable, my skills matter more than before",8.0
"Enterprise in-house (1,000+)",Designer (Individual contributor),Eastern Europe,"Adobe Firefly, Figma, ChatGPT, After Effects, Microsoft Teams",Code isn't part of my workflow,Design systems & tokens,None,"No, and I don't plan to",First drafts I heavily edit,"Too many tools, unclear which to commit","Added new tools, AI included","More valuable, my skills matter more than before",3.0
Startup in-house (2–100),Design engineer,North America,"Claude Code, Claude Cowork, Claude, Figma, n8n, Nanobanana, Paper, Pencil.dev, Rive, Linear, Obsidian, Google Slides, Slack, Zoom, posthog, hubspot","I use AI or no-code to generate code, I review or inspect code but don't write it","AI-generated coding, Canvas design tools, Agent workflows & automations",Nearly all of it,"Yes, I build personal tools regularly",Ships with minor tweaks,"Security or compliance policy, AI output quality isn't reliable enough","Still in flux, changing often","More valuable, my skills matter more than before",8.0
"Enterprise in-house (1,000+)",Lead or principal,North America,"Figma Make, Figma, Gemini, Perplexity, Jira, Google Slides, Google Meet, UserTesting, FigJam",I use AI or no-code to generate code,"AI-generated coding, Agent workflows & automations, Simplifying my stack",About half,"Yes, once or twice",Working output I review before shipping,"Budget or procurement friction, Security or compliance policy, AI output quality isn't reliable enough",AI is now central — major shift,Honestly not sure,3.0
Agency or consulting,Designer (Individual contributor),Southern Africa,"Adobe Firefly, Gemini",Code isn't part of my workflow,"Image generation, No major changes planned",None,"No, and I don't plan to",First drafts I heavily edit,"Time to learn new tools, Security or compliance policy, AI output quality isn't reliable enough",Consolidated into fewer tools,About the same,3.0
Mid-size in-house (101–999),Designer (Individual contributor),Southeast Asia,"Claude Code, Gemini","Code isn't part of my workflow, I review or inspect code but don't write it","Agent workflows & automations, AI-generated coding",None,"Yes, once or twice",Exploration and brainstorming only,"Budget or procurement friction, Security or compliance policy, Too many tools, unclear which to commit",AI is now central — major shift,"Less secure, AI is changing what's expected of me",8.0
Agency or consulting,Researcher,Western Europe,"Figma, Copilot (Microsoft), Microsoft Teams, Mural",Code isn't part of my workflow,No major changes planned,None,"No, but I want to",Ships with minor tweaks,"Budget or procurement friction, Too many tools, unclear which to commit","Added new tools, AI included",About the same,4.0
Independent or freelance,Designer (Individual contributor),North America,"Paper, Figma, Claude Code, Perplexity, v0 (Vercel), Notion, Dia, Lovable, MagicPath, wisper, Raycast",I hand-code prototypes but not production,"Canvas design tools, Design systems & tokens, Image generation",About half,,Working output I review before shipping,"Time to learn new tools, Too many tools, unclear which to commit, AI output quality isn't reliable enough",Consolidated into fewer tools,"More valuable, my skills matter more than before",8.0
Independent or freelance,Designer (Individual contributor),North America,"Lovable, Figma",I use AI or no-code to generate code,AI-generated coding,Most of it,"Yes, I build personal tools regularly",Working output I review before shipping,"Too many tools, unclear which to commit",AI is now central — major shift,"More valuable, my skills matter more than before",8.0
Independent or freelance,Designer (Individual contributor),Eastern Europe,"Figma Make, Adobe Firefly, Nanobanana, Figma, Claude, Jitter, Jira",Code isn't part of my workflow,"AI-generated coding, Video, motion, & 3D",None,"No, but I want to",Working output I review before shipping,Time to learn new tools,"Added new tools, AI included","More valuable, my skills matter more than before",6.0
"Student, educator, or between roles",Designer (Individual contributor),North America,"Figma, Claude, Google Meet, Framer, FigJam, Claude Code","I hand-code prototypes but not production, I use AI or no-code to generate code",No major changes planned,Occasionally,"Yes, I build personal tools regularly",First drafts I heavily edit,"AI output quality isn't reliable enough, Budget or procurement friction","Added new tools, AI included",About the same,9.0
Agency or consulting,Lead or principal,North America,"Claude Cowork, Make, Lovable, Replit, Vibecode, Claude Code, Cursor, GitHub Copilot, UX Pilot, Adobe Firefly, Nanobanana, Figma, ChatGPT, Copilot (Microsoft), Claude, Notion, Jira, PowerPoint, Microsoft Teams, Zoom, Maze, Framer, FigJam, Miro",I use AI or no-code to generate code,"AI-generated coding, No-code tools (not AI), Design systems & tokens",Occasionally,"Yes, once or twice",Exploration and brainstorming only,"Time to learn new tools, Security or compliance policy, Too many tools, unclear which to commit","Added new tools, AI included","Less secure, AI is changing what's expected of me",5.0
"Enterprise in-house (1,000+)",Designer (Individual contributor),North America,"Figma, Figma Make, Claude Cowork, Claude, Jira, Microsoft Teams, Slack, Maze, Miro","Code isn't part of my workflow, I use AI or no-code to generate code","AI-generated coding, Agent workflows & automations",None,"No, but I want to",Exploration and brainstorming only,"Time to learn new tools, AI output quality isn't reliable enough, Too many tools, unclear which to commit","Added new tools, AI included","Less secure, AI is changing what's expected of me",3.0
"Enterprise in-house (1,000+)",Designer (Individual contributor),North America,"Figma, Claude, Gemini",Code isn't part of my workflow,"No-code tools (not AI), Image generation, Agent workflows & automations",None,"No, and I don't plan to",Exploration and brainstorming only,"Time to learn new tools, Security or compliance policy, AI output quality isn't reliable enough",AI is now central — major shift,"Less secure, AI is changing what's expected of me",3.0
"Enterprise in-house (1,000+)",Designer (Individual contributor),Northern Europe,"Figma, ChatGPT, Slack, Microsoft Teams",Code isn't part of my workflow,"No-code tools (not AI), AI-generated coding, Image generation",None,"Yes, I build personal tools regularly",Working output I review before shipping,"Time to learn new tools, Budget or procurement friction, Security or compliance policy","Added new tools, AI included","Less secure, AI is changing what's expected of me",3.0
Startup in-house (2–100),Designer (Individual contributor),South Asia,"Lovable, Claude Code, Google Antigravity, GitHub Copilot, Figma Make, Google Stitch, UX Pilot, Figma, Builder.io, ChatGPT, Claude, Gemini, Jira, Google Slides, Pitch, Microsoft Teams, FigJam","I use AI or no-code to generate code, I hand-code prototypes but not production, I write production code","Manual coding, AI-generated coding, Agent workflows & automations",Most of it,"No, but I want to",Working output I review before shipping,"AI output quality isn't reliable enough, Too many tools, unclear which to commit, Engineering team constraints","Added new tools, AI included","Less secure, AI is changing what's expected of me",8.0
